Representative_Sequence	total	0001	0002	0003	0004	0005	0006	0007	0008	0009	0010	0011	0012	0013	0014	0015	0016	0017	0018	0019	0020	0021	0022	0023	0024	0025	0026	0027	0028	0029	0030	0031	0032	0033	0034	0035	0036	0037	0038	0039	0040	0041	0042	0043	0044	0045	0046	0047	0048	0049	0050	0051	0052	0053	0054	0055	0056	0057	0058	0059	0060	0061	0062	0063	0064	0065	0066	0067	0068	0069	0070	0071	0072	0073	0074	0075	0076	0077	0078	0079	0080	0081	0082	0083	0084	0085	0086	0087	0088	0089	0090	0091	0092	0093	0094	0095	0096	0097	0098	0099	0100	0101	0102	0103	0104	0105	0106	0107	0108	0109	0110	0111	0112	0113	0114	0115	0116	0117	0118	0119	0120	0121	0122	0123	0124	0125	0126	0127	0128	0129	0130	0131	0132	0133	0134	0135	0136	0137	0138	0139	0140	0141	0142	0143	0144	0145	0146	0147	0148	0149	0150	0151	0152	0153	0154	0155	0156	0157	0158	0159	0160	0161	0162	0163	0164	0165	0166	0167	0168	0169	0170	0171	0172	0173	0174	0175	0176	0177	0178	0179	Mock1	Mock2	NTCI1	NTCI2	NTCTS1	NTCTS2
Zotu2	95080	4980	552	33	2	1260	1218	1	0	0	0	9	0	253	0	0	801	0	0	7285	1	122	1	125	1493	0	310	1	392	1	579	3822	0	10	0	2	840	0	352	0	10898	0	17	1842	2	31	3740	351	7	1	11	1839	8954	169	1585	734	2	13	0	1	808	54	16	753	0	0	0	0	1776	1548	0	4095	1157	539	374	5246	6971	0	2	854	435	0	3632	41	518	0	1786	0	201	69	0	5	417	1	0	3	0	0	1	128	120	0	379	73	2242	0	0	0	260	62	199	21	1130	0	13	0	224	0	0	26	98	0	8	6	0	0	0	541	119	47	159	0	2	411	697	0	2	6	2	54	100	122	9	0	141	1	0	240	3	2367	105	0	229	0	70	938	0	38	13	2	386	145	24	87	855	449	0	40	649	0	17	3	0	0	3	0	2	4	27	0	0	0	15	2	1	0
Zotu4312	1504	47	1	0	126	0	0	0	0	0	0	0	24	22	0	0	66	0	0	0	0	43	0	0	26	108	0	0	0	0	31	0	0	0	0	0	0	0	49	0	2	36	0	27	0	0	19	3	17	0	0	0	7	0	0	0	0	26	0	0	15	0	0	47	0	0	0	0	0	0	0	59	7	2	0	134	352	0	0	11	0	0	7	0	0	0	0	0	7	37	0	0	30	0	0	0	0	0	0	1	0	9	4	0	3	0	0	0	11	0	0	0	0	0	1	0	0	3	0	0	0	0	0	3	0	6	0	0	0	2	1	7	0	5	0	1	0	0	0	3	54	0	0	0	26	0	0	1	0	0	0	0	3	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu64	8004	69	9	0	0	93	54	0	0	0	0	2	0	2	0	0	95	0	0	1933	0	15	0	25	0	0	110	0	18	0	1	496	0	0	0	0	119	0	4	0	174	0	2	427	0	6	52	2	2	0	152	18	370	7	300	7	0	0	0	0	85	2	0	3	0	0	0	0	12	48	0	524	222	91	81	186	68	0	1	232	17	0	112	23	24	0	1	0	4	14	0	2	0	0	0	0	0	0	0	12	12	0	14	15	123	0	0	0	49	7	106	268	0	0	1	0	28	0	0	0	13	0	3	0	0	0	0	61	0	0	6	0	0	18	0	0	0	3	0	6	1	35	13	0	0	0	0	69	0	0	0	0	5	0	557	0	0	0	0	0	17	13	17	15	0	73	0	4	191	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu6619	266	7	3	0	20	0	0	0	0	0	0	0	4	0	0	0	17	0	0	0	0	2	0	0	10	52	0	0	0	0	13	0	0	0	0	0	0	0	25	0	0	14	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	44	0	0	0	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	7	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu511	1427	15	1	0	1	18	9	4	0	0	0	0	15	0	0	0	7	0	0	85	0	3	0	35	0	0	61	0	1	0	4	125	0	0	0	0	8	0	0	1	1	0	0	91	0	14	2	0	44	0	56	0	30	0	36	1	0	0	0	0	75	2	2	3	0	0	4	0	0	4	0	92	81	23	13	30	0	0	0	19	0	0	18	23	0	0	0	0	2	64	0	0	0	0	0	0	0	0	0	2	1	35	0	2	2	0	0	1	5	0	19	52	0	0	0	0	0	0	0	0	4	0	0	1	0	11	0	5	0	1	0	11	0	2	0	0	0	2	0	3	0	5	3	0	1	0	0	12	10	0	0	0	1	0	39	0	0	0	0	0	1	13	4	19	0	17	0	1	22	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Zotu2866	6	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2361	41	584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu513	1099	8	0	0	0	0	0	0	0	9	0	0	5	13	0	0	0	0	0	0	0	0	0	56	41	0	0	0	8	2	0	61	27	2	0	0	0	0	0	9	0	23	0	0	7	2	0	0	9	0	0	0	0	0	0	0	42	38	0	0	0	15	0	0	267	0	0	7	0	0	0	4	0	7	0	0	0	1	0	43	0	331	14	0	7	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	3	0	1	1	0	0	0	4	0	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
Zotu254	1329	104	1	0	0	34	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	670	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	572	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Zotu79	6317	307	71	1	18	139	263	6	0	0	0	0	35	0	0	11	18	0	0	232	0	19	0	55	4	48	62	1	34	46	137	727	0	0	0	0	22	0	17	5	166	0	0	256	0	36	173	30	73	0	6	38	672	5	94	79	0	1	0	0	248	2	14	37	0	0	22	0	31	132	0	202	199	64	53	62	220	4	0	30	12	0	135	15	159	0	13	3	64	181	0	0	20	7	0	0	0	0	0	10	11	39	11	10	30	0	0	19	21	6	18	15	2	0	0	0	1	5	0	2	11	0	0	3	0	41	0	44	2	6	6	20	0	38	0	30	0	3	0	2	3	3	2	0	2	0	0	8	27	2	2	0	5	0	13	0	0	0	13	24	1	17	5	51	0	138	0	1	19	17	7	2	0	0	0	0	0	19	0	0	0	0	1	0	0	0
